id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-B1-001,D2_Secu,30.0,9.45,5.2000,0.000108,1,0,0,100,0.0,0.0,0.0,90.5,0,0.00
CIB-B1-002,D2_Secu,25.0,9.45,4.8000,0.000100,1,0,0,100,0.0,0.0,0.0,91.3,0,0.00
CIB-B1-003,D2_Secu,20.0,9.45,6.1000,0.000127,0,1,0,100,0.0,0.0,0.0,88.7,0,0.00
CIB-B1-004,D2_Secu,100.0,9.45,12.5000,0.000260,0,0,0,100,0.0,100.0,0.0,76.5,1,36.48
CIB-B1-005,D2_Secu,100.0,9.45,8.2000,0.000171,0,0,0,100,0.0,100.0,0.0,84.6,1,37.69
CIB-B1-006,D2_Secu,20.0,9.45,4.5000,0.000094,1,0,0,100,0.0,0.0,0.0,91.9,0,0.00
CIB-B1-007,D2_Secu,100.0,9.45,10.1000,0.000210,0,0,0,100,0.0,100.0,0.0,81.0,1,37.15
CIB-B1-008,D2_Secu,100.0,9.45,11.3000,0.000235,0,0,0,100,0.0,100.0,0.0,78.8,1,36.81
CIB-B1-009,D2_Secu,100.0,9.45,9.8000,0.000204,0,0,0,100,0.0,100.0,0.0,81.6,1,37.24
CIB-B1-010,D2_Secu,30.0,9.45,5.6000,0.000117,1,0,0,100,0.0,0.0,0.0,89.7,0,0.00
CIB-B1-011,D2_Secu,40.0,9.45,7.2000,0.000150,0,1,0,100,0.0,0.0,0.0,86.5,0,0.00
CIB-B1-012,D2_Secu,100.0,9.45,8.9000,0.000185,0,0,0,100,0.0,100.0,0.0,83.3,1,37.49
CIB-B1-013,D2_Secu,100.0,9.45,6.5000,0.000135,0,0,0,100,0.0,100.0,0.0,87.9,1,38.18
CIB-B1-014,D2_Secu,100.0,9.45,13.2000,0.000275,0,0,0,100,0.0,100.0,0.0,75.1,1,36.27
CIB-B1-015,D2_Secu,80.0,9.45,3.8000,0.000079,0,0,0,100,0.0,100.0,0.0,93.3,1,38.99
CIB-B1-016,D2_Secu,100.0,9.45,15.4000,0.000321,0,0,0,100,0.0,100.0,0.0,71.0,1,35.65
CIB-B1-017,D2_Secu,100.0,9.45,5.1000,0.000106,0,0,0,100,0.0,100.0,0.0,90.7,1,38.60
CIB-B1-018,D2_Secu,100.0,9.45,14.2000,0.000296,0,0,0,100,0.0,100.0,0.0,73.2,1,35.98
CIB-B1-019,D2_Secu,100.0,9.45,4.7000,0.000098,0,0,0,100,0.0,100.0,0.0,91.5,1,38.72
CIB-B1-020,D2_Secu,50.0,9.45,8.3000,0.000173,0,1,0,100,0.0,0.0,0.0,84.4,0,0.00
CIB-B1-021,D2_Secu,100.0,9.45,16.5000,0.000344,0,0,0,100,0.0,100.0,0.0,68.9,1,35.34
CIB-B1-022,D2_Secu,100.0,9.45,11.8000,0.000246,0,0,0,100,0.0,100.0,0.0,77.8,1,36.67
CIB-B1-023,D2_Secu,100.0,9.45,18.2000,0.000379,0,0,0,100,0.0,100.0,0.0,65.7,1,34.85
CIB-B1-024,D2_Secu,100.0,9.45,9.4000,0.000196,0,0,0,100,0.0,100.0,0.0,82.4,1,37.35
CIB-B1-025,D2_Secu,100.0,9.45,7.6000,0.000158,0,0,0,100,0.0,100.0,0.0,85.8,1,37.87
CIB-B1-026,D2_Secu,100.0,9.45,19.5000,0.000406,0,0,0,100,0.0,100.0,0.0,63.2,1,34.48
CIB-B1-027,D2_Secu,100.0,9.45,20.1000,0.000419,0,0,0,100,0.0,100.0,0.0,62.1,1,34.31
CIB-B1-028,D2_Secu,100.0,9.45,5.5000,0.000115,0,0,0,100,0.0,100.0,0.0,89.9,1,38.48
CIB-B1-029,D2_Secu,45.0,9.45,6.8000,0.000142,0,1,0,100,0.0,0.0,0.0,87.3,0,0.00
CIB-B1-030,D2_Secu,100.0,9.45,13.6000,0.000283,0,0,0,100,0.0,100.0,0.0,74.4,1,36.15
CIB-B1-031,D2_Secu,100.0,9.45,17.3000,0.000360,0,0,0,100,0.0,100.0,0.0,67.4,1,35.11
CIB-B1-032,D2_Secu,100.0,9.45,10.9000,0.000227,0,0,0,100,0.0,100.0,0.0,79.5,1,36.93
CIB-B1-033,D2_Secu,100.0,9.45,21.4000,0.000446,0,0,0,100,0.0,100.0,0.0,59.6,1,33.94
CIB-B1-034,D2_Secu,100.0,9.45,14.8000,0.000308,0,0,0,100,0.0,100.0,0.0,72.1,1,35.81
CIB-B1-035,D2_Secu,100.0,9.45,7.9000,0.000165,0,0,0,100,0.0,100.0,0.0,85.2,1,37.78
CIB-B1-036,D2_Secu,30.0,9.45,8.5000,0.000177,0,1,0,100,0.0,0.0,0.0,84.0,0,0.00
CIB-B1-037,D2_Secu,100.0,9.45,11.6000,0.000242,0,0,0,100,0.0,100.0,0.0,78.2,1,36.73
CIB-B1-038,D2_Secu,60.0,9.45,9.2000,0.000192,0,1,0,100,0.0,0.0,0.0,82.7,0,0.00
CIB-B1-039,D2_Secu,55.0,9.45,5.3000,0.000110,0,1,0,100,0.0,0.0,0.0,90.3,0,0.00
CIB-B1-040,D2_Secu,100.0,9.45,15.8000,0.000329,0,0,0,100,0.0,100.0,0.0,70.2,1,35.53
CIB-B1-041,D2_Secu,100.0,9.45,12.7000,0.000265,0,0,0,100,0.0,100.0,0.0,76.1,1,36.41
CIB-B1-042,D2_Secu,100.0,9.45,8.8000,0.000183,0,0,0,100,0.0,100.0,0.0,83.5,1,37.52
CIB-B1-043,D2_Secu,100.0,9.45,19.2000,0.000400,0,0,0,100,0.0,100.0,0.0,63.8,1,34.57
CIB-B1-044,D2_Secu,40.0,9.45,7.7000,0.000160,0,1,0,100,0.0,0.0,0.0,85.6,0,0.00
CIB-B1-045,D2_Secu,100.0,9.45,16.9000,0.000352,0,0,0,100,0.0,100.0,0.0,68.1,1,35.22
CIB-B1-046,D2_Secu,100.0,9.45,9.6000,0.000200,0,0,0,100,0.0,100.0,0.0,82.0,1,37.30
CIB-B1-047,D2_Secu,100.0,9.45,13.9000,0.000290,0,0,0,100,0.0,100.0,0.0,73.8,1,36.07
CIB-B1-048,D2_Secu,100.0,9.45,10.3000,0.000215,0,0,0,100,0.0,100.0,0.0,80.7,1,37.10
CIB-B1-049,D2_Secu,100.0,9.45,6.9000,0.000144,0,0,0,100,0.0,100.0,0.0,87.1,1,38.07
CIB-B1-050,D2_Secu,25.0,9.45,14.5000,0.000302,0,1,0,100,0.0,0.0,0.0,72.7,0,0.00
CIB-B1-051,D2_Secu,100.0,9.45,11.2000,0.000233,0,0,0,100,0.0,100.0,0.0,79.0,1,36.84
