id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-B1-001,D2_Secu,100.0,2.85,32.5690,0.000679,0,0,0,100,0.0,100.0,0.0,97.7,1,39.66
CIB-B1-002,D2_Secu,100.0,2.85,31.4080,0.000654,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-003,D2_Secu,35.0,2.85,11.6000,0.000242,0,1,0,100,0.0,0.0,0.0,99.2,0,0.00
CIB-B1-004,D2_Secu,100.0,2.85,31.0334,0.000647,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-005,D2_Secu,100.0,2.85,31.2469,0.000651,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-006,D2_Secu,100.0,2.85,30.6867,0.000639,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-007,D2_Secu,100.0,2.85,12.7675,0.000266,0,0,0,100,0.0,100.0,0.0,99.1,1,39.87
CIB-B1-008,D2_Secu,100.0,2.85,31.1886,0.000650,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-009,D2_Secu,100.0,2.85,31.5061,0.000656,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-010,D2_Secu,100.0,2.85,30.7660,0.000641,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-011,D2_Secu,25.0,2.85,31.3742,0.000654,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-012,D2_Secu,100.0,2.85,30.8269,0.000642,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-013,D2_Secu,100.0,2.85,23.9835,0.000500,0,0,0,100,0.0,100.0,0.0,98.3,1,39.75
CIB-B1-014,D2_Secu,100.0,2.85,31.4057,0.000654,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-015,D2_Secu,10.0,2.85,31.5647,0.000658,1,0,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-016,D2_Secu,100.0,2.85,17.7358,0.000370,0,0,0,100,0.0,100.0,0.0,98.8,1,39.81
CIB-B1-017,D2_Secu,100.0,2.85,31.4060,0.000654,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-018,D2_Secu,100.0,2.85,30.9412,0.000645,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-019,D2_Secu,100.0,2.85,31.5156,0.000657,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-020,D2_Secu,25.0,2.85,31.1702,0.000649,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-021,D2_Secu,100.0,2.85,31.0080,0.000646,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-022,D2_Secu,100.0,2.85,31.7718,0.000662,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-023,D2_Secu,100.0,2.85,30.9748,0.000645,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-024,D2_Secu,100.0,2.85,31.3843,0.000654,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-025,D2_Secu,20.0,2.85,31.6280,0.000659,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-026,D2_Secu,15.0,2.85,31.0105,0.000646,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-027,D2_Secu,15.0,2.85,31.5446,0.000657,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-028,D2_Secu,100.0,2.85,30.8974,0.000644,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-029,D2_Secu,100.0,2.85,31.6153,0.000659,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-030,D2_Secu,20.0,2.85,31.4252,0.000655,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-031,D2_Secu,100.0,2.85,31.0634,0.000647,0,0,0,100,0.0,100.0,0.0,97.8,1,39.68
CIB-B1-032,D2_Secu,100.0,2.85,31.5231,0.000657,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-033,D2_Secu,25.0,2.85,30.9865,0.000646,0,1,0,100,0.0,0.0,0.0,97.8,0,0.00
CIB-B1-034,D2_Secu,100.0,2.85,31.4006,0.000654,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-035,D2_Secu,100.0,2.85,31.6507,0.000659,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
CIB-B1-036,D2_Secu,100.0,2.85,30.9310,0.000644,0,0,0,100,0.0,100.0,0.0,97.9,1,39.68
CIB-B1-037,D2_Secu,100.0,2.85,31.3637,0.000653,0,0,0,100,0.0,100.0,0.0,97.8,1,39.67
