id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-C1-001,D3_RAG,88.0,2.85,4.0606,0.000085,25.0,85.0,80.0,100.0,0.0,100.0,72.5,99.7,1,64.08
CIB-C1-002,D3_RAG,92.0,2.85,2.1726,0.000045,52.6,95.0,90.0,100.0,0.0,100.0,84.4,99.8,1,67.08
CIB-C1-003,D3_RAG,90.0,2.85,3.4519,0.000072,45.5,90.0,85.0,100.0,0.0,100.0,80.1,99.8,1,66.00
CIB-C1-004,D3_RAG,85.0,2.85,8.3086,0.000173,23.7,85.0,88.0,100.0,0.0,100.0,74.2,99.4,1,64.46
CIB-C1-005,D3_RAG,80.0,2.85,11.2389,0.000234,19.0,80.0,85.0,100.0,0.0,100.0,71.0,99.2,1,63.63
CIB-C1-006,D3_RAG,55.0,2.85,6.4288,0.000134,19.7,40.0,80.0,0.0,0.0,100.0,34.9,99.5,1,44.66
CIB-C1-007,D3_RAG,94.0,2.85,1.9901,0.000041,44.4,100.0,88.0,100.0,0.0,100.0,83.1,99.9,1,66.76
CIB-C1-008,D3_RAG,82.0,2.85,4.2384,0.000088,5.6,90.0,85.0,100.0,0.0,100.0,70.1,99.7,1,63.49
CIB-C1-009,D3_RAG,50.0,2.85,12.6588,0.000264,19.0,20.0,75.0,0.0,0.0,100.0,28.5,99.1,1,43.00
CIB-C1-010,D3_RAG,91.0,2.85,2.9196,0.000061,40.0,100.0,92.0,100.0,0.0,100.0,83.0,99.8,1,66.72
CIB-C1-011,D3_RAG,80.0,2.85,8.4624,0.000176,5.1,90.0,85.0,100.0,0.0,100.0,70.0,99.4,1,63.42
CIB-C1-012,D3_RAG,75.0,2.85,31.9098,0.000665,1.8,80.0,85.0,100.0,0.0,100.0,66.7,97.8,1,62.34
CIB-C1-013,D3_RAG,50.0,2.85,32.2114,0.000671,5.9,30.0,78.0,0.0,0.0,100.0,28.5,97.7,1,42.77
CIB-C1-014,D3_RAG,85.0,2.85,10.3647,0.000216,11.3,85.0,85.0,100.0,0.0,100.0,70.3,99.3,1,63.47
CIB-C1-015,D3_RAG,60.0,2.85,10.9504,0.000228,21.4,40.0,80.0,0.0,0.0,100.0,35.3,99.2,1,44.72
CIB-C1-016,D3_RAG,88.0,2.85,15.1426,0.000315,3.7,95.0,90.0,100.0,0.0,100.0,72.2,98.9,1,63.88
CIB-C1-017,D3_RAG,96.0,2.85,2.2893,0.000048,25.8,100.0,90.0,100.0,0.0,100.0,79.0,99.8,1,65.71
CIB-C1-018,D3_RAG,89.0,2.85,4.8572,0.000101,32.7,90.0,85.0,100.0,0.0,100.0,76.9,99.7,1,65.18
CIB-C1-019,D3_RAG,45.0,2.85,31.6170,0.000659,7.1,20.0,75.0,0.0,0.0,100.0,25.5,97.8,1,42.05
CIB-C1-020,D3_RAG,40.0,2.85,9.2011,0.000192,12.9,10.0,80.0,0.0,0.0,100.0,25.7,99.3,1,42.33
CIB-C1-021,D3_RAG,80.0,2.85,11.1835,0.000233,10.4,80.0,85.0,100.0,0.0,100.0,68.9,99.2,1,63.10
CIB-C1-022,D3_RAG,78.0,2.85,12.6190,0.000263,12.9,85.0,88.0,100.0,0.0,100.0,71.5,99.1,1,63.74
