id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-001,D1_Code,96.5,6.12,52.6477,0.001097,100.0,100.0,100.0,54.9,88.7,100.0,0.0,26.5,1,60.03
CIB-A1-002,D1_Code,89.0,6.12,25.4086,0.000529,0.0,90.0,100.0,64.8,63.7,100.0,0.0,81.4,1,59.50
CIB-A1-003,D1_Code,95.2,6.12,35.0914,0.000731,100.0,100.0,100.0,63.0,90.8,100.0,0.0,74.5,1,67.95
CIB-A1-004,D1_Code,97.0,6.12,26.3962,0.000550,100.0,100.0,100.0,68.5,92.1,100.0,0.0,80.7,1,79.35
CIB-A1-005,D1_Code,94.5,6.12,23.1286,0.000482,100.0,100.0,100.0,57.9,89.5,100.0,0.0,83.1,1,78.78
CIB-A1-006,D1_Code,88.0,6.12,16.9992,0.000354,0.0,85.0,100.0,54.2,59.8,100.0,0.0,87.6,1,59.07
CIB-A1-007,D1_Code,93.0,6.12,11.8463,0.000247,100.0,100.0,100.0,59.0,89.8,100.0,0.0,91.3,1,80.12
CIB-A1-008,D1_Code,96.0,6.12,39.4745,0.000822,100.0,100.0,100.0,63.8,91.0,100.0,0.0,71.2,1,77.53
CIB-A1-009,D1_Code,92.0,6.12,23.3969,0.000487,100.0,95.0,100.0,46.6,85.4,100.0,0.0,82.9,1,77.33
CIB-A1-010,D1_Code,85.0,6.12,4.2131,0.000088,0.0,90.0,100.0,61.8,63.0,100.0,0.0,96.9,1,61.58
CIB-A1-011,D1_Code,94.0,6.12,9.1082,0.000190,100.0,100.0,100.0,50.9,87.7,100.0,0.0,93.3,1,79.69
CIB-A1-012,D1_Code,89.0,6.12,24.8705,0.000518,0.0,85.0,100.0,64.7,62.4,100.0,0.0,81.8,1,59.11
CIB-A1-013,D1_Code,98.0,6.12,16.2986,0.000340,100.0,100.0,100.0,69.9,92.5,100.0,0.0,88.1,1,80.58
CIB-A1-014,D1_Code,95.0,6.12,26.4348,0.000551,100.0,100.0,100.0,58.8,89.7,100.0,0.0,80.7,1,78.50
CIB-A1-015,D1_Code,96.0,6.12,34.2323,0.000713,100.0,100.0,100.0,67.5,91.9,100.0,0.0,75.1,1,78.43
CIB-A1-016,D1_Code,97.5,6.12,16.8143,0.000350,100.0,100.0,100.0,68.6,92.2,100.0,0.0,87.7,1,80.42
CIB-A1-017,D1_Code,94.0,6.12,43.0903,0.000898,100.0,100.0,100.0,61.7,90.4,100.0,0.0,68.6,1,76.93
CIB-A1-018,D1_Code,96.0,6.12,23.1468,0.000482,100.0,100.0,100.0,65.7,91.4,100.0,0.0,83.1,1,79.46
CIB-A1-019,D1_Code,99.0,6.12,3.3083,0.000069,100.0,100.0,100.0,38.2,84.6,100.0,0.0,97.5,1,79.24
CIB-A1-020,D1_Code,95.0,6.12,43.9290,0.000915,100.0,100.0,100.0,69.7,92.4,100.0,0.0,67.9,1,77.53
CIB-A1-021,D1_Code,94.0,6.12,5.2096,0.000109,100.0,100.0,100.0,61.3,90.3,100.0,0.0,96.2,1,81.03
CIB-A1-022,D1_Code,97.0,6.12,3.5413,0.000074,100.0,100.0,100.0,68.9,92.2,100.0,0.0,97.4,1,81.88
CIB-A1-023,D1_Code,88.0,6.12,6.4448,0.000134,0.0,90.0,100.0,60.1,62.5,100.0,0.0,95.3,1,61.17
