id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-001,D1_Code,92.5,5.82,8.2179,0.000171,0.0,90.0,100.0,45.2,58.8,100.0,0.0,83.1,1,58.05
CIB-A1-002,D1_Code,95.1,5.82,5.1308,0.000107,0.0,95.0,100.0,88.5,70.9,100.0,0.0,89.5,1,63.23
CIB-A1-003,D1_Code,88.4,5.82,8.2283,0.000171,0.0,85.0,100.0,85.1,67.5,100.0,0.0,83.1,1,61.09
CIB-A1-004,D1_Code,96.0,5.82,3.1628,0.000066,0.0,100.0,100.0,70.5,67.6,100.0,0.0,93.5,1,62.69
CIB-A1-005,D1_Code,91.2,5.82,5.7382,0.000120,0.0,90.0,100.0,55.4,61.4,100.0,0.0,88.2,1,59.71
CIB-A1-006,D1_Code,94.3,5.82,6.4743,0.000135,0.0,95.0,100.0,65.2,65.1,100.0,0.0,86.7,1,60.78
CIB-A1-007,D1_Code,93.0,5.82,6.6663,0.000139,0.0,95.0,100.0,80.1,68.8,100.0,0.0,86.3,1,62.02
CIB-A1-008,D1_Code,89.5,5.82,8.8510,0.000184,0.0,80.0,100.0,72.5,63.1,100.0,0.0,81.8,1,59.36
CIB-A1-009,D1_Code,90.1,5.82,6.8174,0.000142,0.0,95.0,100.0,35.5,57.6,100.0,0.0,86.0,1,58.06
CIB-A1-010,D1_Code,92.0,5.82,4.8129,0.000100,0.0,90.0,100.0,60.7,62.7,100.0,0.0,90.1,1,60.46
CIB-A1-011,D1_Code,91.5,5.82,3.3908,0.000071,0.0,85.0,100.0,50.9,59.0,100.0,0.0,93.0,1,59.60
CIB-A1-012,D1_Code,93.8,5.82,7.1248,0.000148,0.0,95.0,100.0,70.0,66.3,100.0,0.0,85.4,1,61.00
CIB-A1-013,D1_Code,94.0,5.82,7.2470,0.000151,0.0,90.0,100.0,75.0,66.3,100.0,0.0,85.1,1,60.96
CIB-A1-014,D1_Code,89.0,5.82,3.1594,0.000066,0.0,80.0,100.0,20.0,50.0,100.0,0.0,93.5,1,56.52
CIB-A1-015,D1_Code,90.5,5.82,4.0416,0.000084,0.0,85.0,100.0,40.0,56.3,100.0,0.0,91.7,1,58.45
CIB-A1-016,D1_Code,91.8,5.82,5.8828,0.000123,0.0,90.0,100.0,60.0,62.5,100.0,0.0,87.9,1,60.06
CIB-A1-017,D1_Code,92.2,5.82,7.7143,0.000161,0.0,90.0,100.0,60.0,62.5,100.0,0.0,84.2,1,59.50
CIB-A1-018,D1_Code,90.8,5.82,6.7331,0.000140,0.0,85.0,100.0,45.0,57.5,100.0,0.0,86.2,1,58.05
CIB-A1-019,D1_Code,98.2,5.82,2.6560,0.000055,100.0,100.0,100.0,25.0,81.3,100.0,0.0,94.5,1,67.64
CIB-A1-020,D1_Code,91.0,5.82,5.0342,0.000105,0.0,90.0,100.0,65.0,63.8,100.0,0.0,89.7,1,60.77
CIB-A1-021,D1_Code,93.5,5.82,4.2401,0.000088,0.0,95.0,100.0,80.0,68.8,100.0,0.0,91.3,1,62.77
CIB-A1-022,D1_Code,92.8,5.82,3.4239,0.000071,0.0,90.0,100.0,75.0,66.3,100.0,0.0,93.0,1,62.14
CIB-A1-023,D1_Code,91.2,5.82,3.3550,0.000070,0.0,85.0,100.0,50.0,58.8,100.0,0.0,93.1,1,59.54
CIB-A1-024,D1_Code,95.5,5.82,3.8283,0.000080,0.0,100.0,100.0,95.0,73.8,100.0,0.0,92.1,1,64.64
CIB-A1-025,D1_Code,88.5,5.82,1.1336,0.000024,0.0,80.0,100.0,40.0,55.0,100.0,0.0,97.7,1,58.90
CIB-A1-026,D1_Code,90.2,5.82,2.1732,0.000045,0.0,85.0,100.0,55.0,60.0,100.0,0.0,95.5,1,60.33
CIB-A1-027,D1_Code,93.1,5.82,3.4602,0.000072,0.0,95.0,100.0,80.0,68.8,100.0,0.0,92.9,1,63.01
CIB-A1-028,D1_Code,94.5,5.82,7.4428,0.000155,0.0,95.0,100.0,90.0,71.3,100.0,0.0,84.7,1,62.65
CIB-A1-029,D1_Code,97.5,5.82,2.6980,0.000056,100.0,100.0,100.0,75.0,93.8,100.0,0.0,94.5,1,71.98
CIB-A1-030,D1_Code,90.0,5.82,2.6095,0.000054,0.0,85.0,100.0,40.0,56.3,100.0,0.0,94.6,1,58.90
CIB-A1-031,D1_Code,93.4,5.82,3.0267,0.000063,0.0,95.0,100.0,85.0,70.0,100.0,0.0,93.8,1,63.57
CIB-A1-032,D1_Code,91.5,5.82,2.8425,0.000059,0.0,90.0,100.0,55.0,61.3,100.0,0.0,94.2,1,60.57
CIB-A1-033,D1_Code,92.0,5.82,3.4494,0.000072,0.0,90.0,100.0,70.0,65.0,100.0,0.0,92.9,1,61.69
CIB-A1-034,D1_Code,96.5,5.82,1.0541,0.000022,0.0,100.0,100.0,98.0,74.5,100.0,0.0,97.8,1,65.75
CIB-A1-035,D1_Code,89.5,5.82,3.2930,0.000069,0.0,85.0,100.0,40.0,56.3,100.0,0.0,93.2,1,58.68
CIB-A1-036,D1_Code,93.0,5.82,1.6039,0.000033,0.0,95.0,100.0,80.0,68.8,100.0,0.0,96.7,1,63.58
CIB-A1-037,D1_Code,91.2,5.82,6.0137,0.000125,0.0,90.0,100.0,60.0,62.5,100.0,0.0,87.6,1,60.02
CIB-A1-038,D1_Code,91.8,5.82,3.9530,0.000082,0.0,90.0,100.0,65.0,63.8,100.0,0.0,91.9,1,61.10
CIB-A1-039,D1_Code,95.0,5.82,2.9471,0.000061,0.0,100.0,100.0,95.0,73.8,100.0,0.0,93.9,1,64.92
CIB-A1-040,D1_Code,94.5,5.82,2.5998,0.000054,0.0,95.0,100.0,90.0,71.3,100.0,0.0,94.6,1,64.15
CIB-A1-041,D1_Code,96.8,5.82,2.9065,0.000061,100.0,100.0,100.0,100.0,100.0,100.0,0.0,94.0,1,74.10
CIB-A1-042,D1_Code,94.2,5.82,3.3725,0.000070,0.0,95.0,100.0,90.0,71.3,100.0,0.0,93.0,1,63.91
CIB-A1-043,D1_Code,94.0,5.82,3.5730,0.000074,0.0,95.0,100.0,90.0,71.3,100.0,0.0,92.7,1,63.85
CIB-A1-044,D1_Code,92.5,5.82,2.7485,0.000057,0.0,90.0,100.0,75.0,66.3,100.0,0.0,94.3,1,62.34
CIB-A1-045,D1_Code,92.0,5.82,2.9431,0.000061,0.0,90.0,100.0,70.0,65.0,100.0,0.0,93.9,1,61.84
CIB-A1-046,D1_Code,99.0,5.82,2.1393,0.000045,100.0,100.0,100.0,95.0,98.8,100.0,0.0,95.6,1,73.91
CIB-A1-047,D1_Code,92.8,5.82,3.4251,0.000071,0.0,90.0,100.0,80.0,67.5,100.0,0.0,92.9,1,62.56
CIB-A1-048,D1_Code,93.0,5.82,2.1604,0.000045,0.0,95.0,100.0,75.0,67.5,100.0,0.0,95.6,1,62.96
