id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-C1-001,D3_RAG,85.0,5.82,6.0534,0.000126,23.5,80.0,85.0,100.0,0.0,100.0,72.1,87.6,1,56.16
CIB-C1-002,D3_RAG,90.0,5.82,3.7177,0.000077,41.7,95.0,90.0,100.0,0.0,100.0,81.7,92.4,1,69.27
CIB-C1-003,D3_RAG,88.0,5.82,5.2326,0.000109,44.4,90.0,85.0,100.0,0.0,100.0,79.8,89.2,1,68.35
CIB-C1-004,D3_RAG,91.0,5.82,9.2996,0.000194,36.8,85.0,88.0,100.0,0.0,100.0,77.5,80.9,1,66.50
CIB-C1-005,D3_RAG,87.0,5.82,9.6368,0.000201,25.0,80.0,85.0,100.0,0.0,100.0,72.5,80.2,1,65.15
CIB-C1-006,D3_RAG,60.0,5.82,16.2697,0.000339,16.9,40.0,80.0,0.0,0.0,100.0,34.2,66.6,1,43.54
CIB-C1-007,D3_RAG,92.0,5.82,3.6976,0.000077,34.8,100.0,88.0,100.0,0.0,100.0,80.7,92.4,1,69.04
CIB-C1-008,D3_RAG,90.0,5.82,4.1097,0.000086,28.6,90.0,85.0,100.0,0.0,100.0,75.9,91.5,1,67.70
CIB-C1-009,D3_RAG,55.0,5.82,18.4417,0.000384,18.6,20.0,75.0,0.0,0.0,100.0,28.4,62.1,1,41.42
CIB-C1-010,D3_RAG,95.0,5.82,3.5523,0.000074,45.5,100.0,92.0,100.0,0.0,100.0,84.4,92.7,1,69.99
CIB-C1-011,D3_RAG,88.0,5.82,5.1863,0.000108,11.4,90.0,85.0,100.0,0.0,100.0,71.6,89.3,1,66.30
CIB-C1-012,D3_RAG,89.0,5.82,20.4033,0.000425,5.4,80.0,85.0,100.0,0.0,100.0,67.6,58.1,1,60.61
CIB-C1-013,D3_RAG,58.0,5.82,12.2186,0.000255,12.2,30.0,78.0,0.0,0.0,100.0,30.1,74.9,1,43.75
CIB-C1-014,D3_RAG,85.0,5.82,7.1097,0.000148,18.9,85.0,85.0,100.0,0.0,100.0,72.2,85.4,1,65.86
CIB-C1-015,D3_RAG,62.0,5.82,15.4914,0.000323,18.7,40.0,80.0,0.0,0.0,100.0,34.7,68.2,1,43.90
CIB-C1-016,D3_RAG,91.0,5.82,4.3230,0.000090,11.4,95.0,90.0,100.0,0.0,100.0,74.1,91.1,1,67.19
CIB-C1-017,D3_RAG,94.0,5.82,4.0897,0.000085,66.7,100.0,90.0,100.0,0.0,100.0,89.2,91.6,1,71.04
CIB-C1-018,D3_RAG,89.0,5.82,6.3000,0.000131,34.0,90.0,85.0,100.0,0.0,100.0,77.3,87.1,1,67.38
CIB-C1-019,D3_RAG,52.0,5.82,12.7867,0.000266,22.6,20.0,75.0,0.0,0.0,100.0,29.4,73.7,1,43.41
CIB-C1-020,D3_RAG,50.0,5.82,26.1715,0.000545,17.0,10.0,80.0,0.0,0.0,100.0,26.8,46.2,1,38.62
CIB-C1-021,D3_RAG,85.0,5.82,20.0760,0.000418,12.0,80.0,85.0,100.0,0.0,100.0,69.2,58.8,1,61.13
CIB-C1-022,D3_RAG,86.0,5.82,17.5495,0.000366,9.6,85.0,88.0,100.0,0.0,100.0,70.6,63.9,1,62.26
CIB-C1-023,D3_RAG,93.0,5.82,7.0118,0.000146,4.9,95.0,90.0,100.0,0.0,100.0,72.5,85.6,1,65.96
CIB-C1-024,D3_RAG,80.0,5.82,13.0363,0.000272,5.0,70.0,80.0,100.0,0.0,100.0,63.8,73.2,1,58.93
CIB-C1-025,D3_RAG,64.0,5.82,9.6902,0.000202,15.4,40.0,80.0,0.0,0.0,100.0,33.8,80.1,1,45.47
CIB-C1-026,D3_RAG,88.0,5.82,10.9878,0.000229,13.6,90.0,85.0,100.0,0.0,100.0,72.2,77.4,1,64.66
CIB-C1-027,D3_RAG,90.0,5.82,6.3857,0.000133,33.3,95.0,88.0,100.0,0.0,100.0,79.1,86.9,1,67.81
CIB-C1-028,D3_RAG,92.0,5.82,4.1481,0.000086,43.5,95.0,90.0,100.0,0.0,100.0,82.1,91.5,1,69.25
CIB-C1-029,D3_RAG,91.0,5.82,7.5533,0.000157,35.3,90.0,85.0,100.0,0.0,100.0,77.6,84.5,1,67.07
CIB-C1-030,D3_RAG,60.0,5.82,12.3409,0.000257,15.2,30.0,75.0,0.0,0.0,100.0,30.1,74.6,1,43.71
CIB-C1-031,D3_RAG,85.0,5.82,14.8191,0.000309,13.6,80.0,85.0,100.0,0.0,100.0,69.6,69.5,1,59.85
CIB-C1-032,D3_RAG,90.0,5.82,5.6843,0.000118,23.3,95.0,88.0,100.0,0.0,100.0,76.6,88.3,1,67.40
CIB-C1-033,D3_RAG,55.0,5.82,10.2946,0.000214,20.5,20.0,75.0,0.0,0.0,100.0,28.9,78.9,1,44.05
CIB-C1-034,D3_RAG,88.0,5.82,10.9404,0.000228,23.1,85.0,85.0,100.0,0.0,100.0,73.3,77.5,1,64.95
CIB-C1-035,D3_RAG,85.0,5.82,16.5809,0.000345,14.2,80.0,85.0,100.0,0.0,100.0,69.8,66.0,1,59.35
CIB-C1-036,D3_RAG,60.0,5.82,14.8218,0.000309,12.2,30.0,80.0,0.0,0.0,100.0,30.6,69.6,1,43.07
CIB-C1-037,D3_RAG,93.0,5.82,3.8819,0.000081,28.6,95.0,90.0,100.0,0.0,100.0,78.4,92.0,1,68.41
CIB-C1-038,D3_RAG,89.0,5.82,6.8735,0.000143,20.4,85.0,85.0,100.0,0.0,100.0,72.6,85.9,1,66.03
CIB-C1-039,D3_RAG,94.0,5.82,5.1979,0.000108,14.3,95.0,90.0,100.0,0.0,100.0,74.8,89.3,1,67.11
CIB-C1-040,D3_RAG,96.0,5.82,4.0699,0.000085,66.7,100.0,85.0,100.0,0.0,100.0,87.9,91.6,1,70.73
CIB-C1-041,D3_RAG,88.0,5.82,8.5751,0.000179,12.9,90.0,85.0,100.0,0.0,100.0,72.0,82.4,1,65.35
CIB-C1-042,D3_RAG,85.0,5.82,15.6215,0.000325,10.4,80.0,85.0,100.0,0.0,100.0,68.8,67.9,1,59.40
CIB-C1-043,D3_RAG,92.0,5.82,3.6276,0.000076,17.4,95.0,88.0,100.0,0.0,100.0,75.1,92.5,1,67.66
CIB-C1-044,D3_RAG,65.0,5.82,8.4680,0.000176,38.8,40.0,75.0,0.0,0.0,100.0,38.4,82.6,1,46.99
CIB-C1-045,D3_RAG,86.0,5.82,10.8099,0.000225,17.9,85.0,85.0,100.0,0.0,100.0,72.0,77.8,1,64.66
CIB-C1-046,D3_RAG,90.0,5.82,6.5748,0.000137,11.8,90.0,85.0,100.0,0.0,100.0,71.7,86.5,1,65.90
CIB-C1-047,D3_RAG,65.0,5.82,8.9744,0.000187,2.7,30.0,78.0,0.0,0.0,100.0,27.7,81.6,1,44.16
CIB-C1-048,D3_RAG,88.0,5.82,10.5326,0.000219,17.1,85.0,85.0,100.0,0.0,100.0,71.8,78.3,1,64.70
CIB-C1-049,D3_RAG,98.0,5.82,2.6323,0.000055,33.3,100.0,95.0,100.0,0.0,100.0,82.1,94.6,1,69.71
CIB-C1-050,D3_RAG,87.0,5.82,9.5074,0.000198,8.5,85.0,85.0,100.0,0.0,100.0,69.6,80.4,1,64.48
