id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-001,D1_Code,92.0,9.45,48.5993,0.001012,0.0,85.0,100.0,30.6,53.9,100.0,0.0,84.1,1,56.33
CIB-A1-002,D1_Code,94.0,9.45,14.6540,0.000305,100.0,100.0,100.0,51.4,87.9,100.0,0.0,97.6,1,80.40
CIB-A1-003,D1_Code,96.0,9.45,29.5408,0.000615,100.0,100.0,100.0,55.6,89.4,100.0,0.0,91.6,1,79.19
CIB-A1-004,D1_Code,95.0,9.45,9.6513,0.000201,100.0,100.0,100.0,61.8,91.6,100.0,0.0,99.6,1,82.02
CIB-A1-005,D1_Code,91.0,9.45,36.3788,0.000758,100.0,100.0,100.0,48.3,86.9,100.0,0.0,88.9,1,78.75
CIB-A1-006,D1_Code,88.0,9.45,15.4825,0.000323,0.0,85.0,100.0,0.3,43.4,100.0,0.0,97.3,1,54.77
CIB-A1-007,D1_Code,93.0,9.45,3.6187,0.000075,100.0,100.0,100.0,80.3,98.1,100.0,0.0,98.9,1,84.17
CIB-A1-008,D1_Code,97.0,9.45,23.5263,0.000490,100.0,100.0,100.0,39.2,83.7,100.0,0.0,94.0,1,78.41
CIB-A1-009,D1_Code,90.0,9.45,7.5288,0.000157,100.0,95.0,100.0,19.1,75.8,100.0,0.0,98.9,1,76.35
CIB-A1-010,D1_Code,89.0,9.45,3.8703,0.000081,100.0,100.0,100.0,42.6,84.9,100.0,0.0,98.9,1,79.55
CIB-A1-011,D1_Code,94.0,9.45,4.8306,0.000101,100.0,100.0,100.0,39.6,83.8,100.0,0.0,98.9,1,79.17
CIB-A1-012,D1_Code,85.0,9.45,29.9068,0.000623,0.0,80.0,100.0,51.6,58.1,100.0,0.0,91.5,1,60.05
CIB-A1-013,D1_Code,98.0,9.45,9.1977,0.000192,100.0,100.0,100.0,78.9,97.6,100.0,0.0,98.9,1,84.00
CIB-A1-014,D1_Code,88.0,9.45,4.0046,0.000083,100.0,90.0,100.0,-9.1,66.6,100.0,0.0,98.9,1,73.13
CIB-A1-015,D1_Code,82.0,9.45,3.2926,0.000069,0.0,85.0,100.0,-18.2,36.9,100.0,0.0,98.9,1,52.75
CIB-A1-016,D1_Code,96.0,9.45,5.9622,0.000124,100.0,100.0,100.0,72.3,95.3,100.0,0.0,98.9,1,83.19
CIB-A1-017,D1_Code,93.0,9.45,27.5818,0.000575,100.0,100.0,100.0,49.2,87.2,100.0,0.0,92.4,1,79.38
CIB-A1-018,D1_Code,95.0,9.45,26.7028,0.000556,100.0,100.0,100.0,51.7,88.1,100.0,0.0,92.8,1,79.75
CIB-A1-019,D1_Code,92.0,9.45,4.9811,0.000104,100.0,100.0,100.0,6.4,72.2,100.0,0.0,98.9,1,75.11
CIB-A1-020,D1_Code,94.0,9.45,45.3709,0.000945,100.0,100.0,100.0,69.8,94.4,100.0,0.0,85.3,1,80.85
CIB-A1-021,D1_Code,96.0,9.45,5.9237,0.000123,100.0,100.0,100.0,69.0,94.1,100.0,0.0,98.9,1,82.78
CIB-A1-022,D1_Code,97.0,9.45,5.1844,0.000108,100.0,100.0,100.0,67.8,93.7,100.0,0.0,98.9,1,82.63
CIB-A1-023,D1_Code,91.0,9.45,7.3613,0.000153,100.0,100.0,100.0,58.4,90.4,100.0,0.0,98.9,1,81.48
CIB-A1-024,D1_Code,99.0,9.45,3.5298,0.000074,100.0,100.0,100.0,69.8,94.4,100.0,0.0,98.9,1,82.88
CIB-A1-025,D1_Code,88.0,9.45,3.2691,0.000068,100.0,90.0,100.0,32.6,81.3,100.0,0.0,98.9,1,78.29
CIB-A1-026,D1_Code,93.0,9.45,3.6176,0.000075,100.0,100.0,100.0,45.6,86.0,100.0,0.0,98.9,1,79.93
CIB-A1-027,D1_Code,95.0,9.45,5.1165,0.000107,100.0,100.0,100.0,73.2,95.6,100.0,0.0,98.9,1,83.29
