id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-C1-001,D3_RAG,90.0,9.45,6.5439,0.000136,22.2,85.0,85.0,100.0,0.0,100.0,73.1,95.1,1,63.02
CIB-C1-002,D3_RAG,94.0,9.45,4.3749,0.000091,45.5,95.0,92.0,100.0,0.0,100.0,83.1,98.6,1,66.07
CIB-C1-003,D3_RAG,93.0,9.45,6.2371,0.000130,50.0,90.0,88.0,100.0,0.0,100.0,82.0,95.6,1,65.34
CIB-C1-004,D3_RAG,88.0,9.45,14.2328,0.000297,31.1,85.0,85.0,100.0,0.0,100.0,75.3,82.7,1,61.73
CIB-C1-005,D3_RAG,89.0,9.45,9.7924,0.000204,31.4,80.0,85.0,100.0,0.0,100.0,74.1,89.9,1,62.83
CIB-C1-006,D3_RAG,60.0,9.45,5.1919,0.000108,10.5,40.0,80.0,0.0,0.0,100.0,32.6,97.3,1,43.20
CIB-C1-007,D3_RAG,95.0,9.45,3.6490,0.000076,44.4,100.0,90.0,100.0,0.0,100.0,83.6,99.8,1,67.06
CIB-C1-008,D3_RAG,91.0,9.45,7.2644,0.000151,16.7,90.0,85.0,100.0,0.0,100.0,72.9,94.0,1,63.33
CIB-C1-009,D3_RAG,62.0,9.45,15.6474,0.000326,21.2,20.0,75.0,0.0,0.0,100.0,29.1,80.4,1,42.32
CIB-C1-010,D3_RAG,96.0,9.45,4.8873,0.000102,45.5,100.0,95.0,100.0,0.0,100.0,85.1,97.8,1,67.20
CIB-C1-011,D3_RAG,85.0,9.45,6.9745,0.000145,9.5,90.0,85.0,100.0,0.0,100.0,71.1,94.4,1,62.95
CIB-C1-012,D3_RAG,88.0,9.45,9.2321,0.000192,19.2,80.0,85.0,100.0,0.0,100.0,71.1,90.8,1,62.21
CIB-C1-013,D3_RAG,65.0,9.45,12.1133,0.000252,16.7,30.0,78.0,0.0,0.0,100.0,31.2,86.2,1,44.22
CIB-C1-014,D3_RAG,92.0,9.45,10.0379,0.000209,26.5,85.0,88.0,100.0,0.0,100.0,74.9,89.5,1,62.64
CIB-C1-015,D3_RAG,70.0,9.45,9.6405,0.000201,41.5,40.0,80.0,0.0,0.0,100.0,40.4,90.1,1,46.22
CIB-C1-016,D3_RAG,89.0,9.45,7.4351,0.000155,11.3,95.0,90.0,100.0,0.0,100.0,74.1,93.7,1,63.60
CIB-C1-017,D3_RAG,98.0,9.45,3.8906,0.000081,74.1,100.0,95.0,100.0,0.0,100.0,92.3,99.4,1,70.23
CIB-C1-018,D3_RAG,94.0,9.45,6.1933,0.000129,39.0,90.0,88.0,100.0,0.0,100.0,79.3,95.7,1,64.67
CIB-C1-019,D3_RAG,55.0,9.45,15.7088,0.000327,16.7,20.0,75.0,0.0,0.0,100.0,27.9,80.3,1,41.97
CIB-C1-020,D3_RAG,52.0,9.45,12.8407,0.000268,16.7,10.0,80.0,0.0,0.0,100.0,26.7,85.0,1,41.92
CIB-C1-021,D3_RAG,85.0,9.45,12.3473,0.000257,16.7,80.0,85.0,100.0,0.0,100.0,70.4,85.8,1,62.08
CIB-C1-022,D3_RAG,86.0,9.45,7.0980,0.000148,25.0,85.0,88.0,100.0,0.0,100.0,74.5,94.2,1,63.79
CIB-C1-023,D3_RAG,90.0,9.45,5.1616,0.000108,9.5,95.0,90.0,100.0,0.0,100.0,73.6,97.3,1,64.01
CIB-C1-024,D3_RAG,82.0,9.45,11.5356,0.000240,5.0,70.0,80.0,100.0,0.0,100.0,63.8,87.1,1,60.51
CIB-C1-025,D3_RAG,72.0,9.45,13.7625,0.000287,12.6,40.0,80.0,0.0,0.0,100.0,33.2,83.5,1,43.32
CIB-C1-026,D3_RAG,89.0,9.45,9.2244,0.000192,22.6,90.0,85.0,100.0,0.0,100.0,74.4,90.8,1,64.72
CIB-C1-027,D3_RAG,93.0,9.45,8.1735,0.000170,38.3,95.0,90.0,100.0,0.0,100.0,80.8,92.5,1,65.58
CIB-C1-028,D3_RAG,91.0,9.45,11.2077,0.000233,13.7,95.0,90.0,100.0,0.0,100.0,74.7,87.6,1,63.31
CIB-C1-029,D3_RAG,90.0,9.45,8.5370,0.000178,15.7,90.0,85.0,100.0,0.0,100.0,72.7,91.9,1,63.46
