id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,User_CSAT,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-D4-001,D4_User,90.0,9.45,42.0311,0.000876,82.3,0.0,100.0,0.0,37.8,1,30.67
CIB-D4-002,D4_User,88.0,9.45,22.1364,0.000461,85.1,0.0,100.0,0.0,69.9,1,35.48
CIB-D4-003,D4_User,93.0,9.45,26.1720,0.000545,88.2,0.0,100.0,0.0,63.4,1,34.51
CIB-D4-004,D4_User,89.0,9.45,47.5484,0.000991,60.4,0.0,100.0,0.0,28.9,1,29.34
CIB-D4-005,D4_User,96.0,9.45,17.9507,0.000374,75.3,0.0,100.0,0.0,76.6,1,36.49
CIB-D4-006,D4_User,92.0,9.45,21.8578,0.000455,89.1,0.0,100.0,0.0,70.3,1,35.55
CIB-D4-007,D4_User,90.0,9.45,39.0582,0.000814,92.5,0.0,100.0,0.0,42.6,1,31.39
CIB-D4-008,D4_User,91.0,9.45,35.4632,0.000739,95.0,0.0,100.0,0.0,48.4,1,32.26
CIB-D4-009,D4_User,88.0,9.45,47.7122,0.000994,45.2,0.0,100.0,0.0,28.6,1,29.30
CIB-D4-010,D4_User,97.0,9.45,34.6871,0.000723,86.3,0.0,100.0,0.0,49.6,1,32.45
CIB-D4-011,D4_User,90.0,9.45,32.4313,0.000676,78.2,0.0,100.0,0.0,53.3,1,32.99
CIB-D4-012,D4_User,91.0,9.45,41.0973,0.000856,82.4,0.0,100.0,0.0,39.3,1,30.90
CIB-D4-013,D4_User,87.0,9.45,25.2213,0.000525,72.1,0.0,100.0,0.0,64.9,1,34.74
CIB-D4-014,D4_User,90.0,9.45,34.2212,0.000713,99.5,0.0,100.0,0.0,50.4,1,32.56
CIB-D4-015,D4_User,92.0,9.45,47.5952,0.000992,84.1,0.0,100.0,0.0,28.8,1,29.32
CIB-D4-016,D4_User,86.0,9.45,27.6779,0.000577,69.4,0.0,100.0,0.0,60.9,1,34.14
CIB-D4-017,D4_User,94.0,9.45,33.2601,0.000693,91.2,0.0,100.0,0.0,51.9,1,32.79
CIB-D4-018,D4_User,89.0,9.45,37.3863,0.000779,77.5,0.0,100.0,0.0,45.3,1,31.79
CIB-D4-019,D4_User,95.0,9.45,46.2684,0.000964,92.1,0.0,100.0,0.0,31.0,1,29.64
CIB-D4-020,D4_User,88.0,9.45,32.7213,0.000682,75.8,0.0,100.0,0.0,52.8,1,32.92
CIB-D4-021,D4_User,93.0,9.45,34.1913,0.000712,86.5,0.0,100.0,0.0,50.4,1,32.57
CIB-D4-022,D4_User,91.0,9.45,26.2144,0.000546,87.4,0.0,100.0,0.0,63.3,1,34.50
CIB-D4-023,D4_User,94.0,9.45,43.1010,0.000898,40.2,0.0,100.0,0.0,36.1,1,30.41
CIB-D4-024,D4_User,92.0,9.45,37.2620,0.000776,81.4,0.0,100.0,0.0,45.5,1,31.82
CIB-D4-025,D4_User,89.0,9.45,46.4064,0.000967,79.8,0.0,100.0,0.0,30.7,1,29.61
CIB-D4-026,D4_User,93.0,9.45,38.6808,0.000806,90.2,0.0,100.0,0.0,43.2,1,31.48
CIB-D4-027,D4_User,90.0,9.45,34.5479,0.000720,85.3,0.0,100.0,0.0,49.9,1,32.48
CIB-D4-028,D4_User,88.0,9.45,47.3109,0.000986,78.5,0.0,100.0,0.0,29.3,1,29.39
CIB-D4-029,D4_User,83.0,9.45,36.3870,0.000758,63.1,0.0,100.0,0.0,46.9,1,32.03
CIB-D4-030,D4_User,94.0,9.45,46.0026,0.000958,91.3,0.0,100.0,0.0,31.4,1,29.71
CIB-D4-031,D4_User,91.0,9.45,39.8398,0.000830,91.2,0.0,100.0,0.0,41.4,1,31.20
CIB-D4-032,D4_User,92.0,9.45,33.6755,0.000702,91.5,0.0,100.0,0.0,51.3,1,32.69
CIB-D4-033,D4_User,96.0,9.45,43.5610,0.000908,94.5,0.0,100.0,0.0,35.3,1,30.30
CIB-D4-034,D4_User,93.0,9.45,43.9953,0.000917,89.7,0.0,100.0,0.0,34.7,1,30.20
CIB-D4-035,D4_User,89.0,9.45,33.4097,0.000696,86.2,0.0,100.0,0.0,51.7,1,32.75
CIB-D4-036,D4_User,95.0,9.45,48.6841,0.001014,60.1,0.0,100.0,0.0,27.1,1,29.06
