id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-001,D1_Code,85.0,2.85,33.0594,0.000689,0.0,80.0,100.0,46.7,56.7,100.0,0.0,97.7,1,58.84
CIB-A1-002,D1_Code,88.0,2.85,31.9157,0.000665,0.0,85.0,100.0,59.0,61.0,100.0,0.0,97.8,1,60.89
CIB-A1-003,D1_Code,92.0,2.85,31.4181,0.000655,100.0,100.0,100.0,63.9,91.0,100.0,0.0,97.8,1,81.42
CIB-A1-004,D1_Code,89.0,2.85,31.9484,0.000666,0.0,85.0,100.0,59.3,61.1,100.0,0.0,97.8,1,60.94
CIB-A1-005,D1_Code,93.0,2.85,22.8255,0.000476,100.0,100.0,100.0,56.7,89.2,100.0,0.0,98.4,1,80.89
CIB-A1-006,D1_Code,94.0,2.85,32.3627,0.000674,100.0,100.0,100.0,59.3,89.8,100.0,0.0,97.7,1,81.02
CIB-A1-007,D1_Code,82.0,2.85,31.5325,0.000657,0.0,80.0,100.0,50.0,57.5,100.0,0.0,97.8,1,59.73
CIB-A1-008,D1_Code,96.0,2.85,27.8163,0.000580,100.0,100.0,100.0,62.3,90.6,100.0,0.0,98.1,1,81.33
CIB-A1-009,D1_Code,87.0,2.85,31.3131,0.000652,0.0,85.0,100.0,55.8,60.2,100.0,0.0,97.8,1,60.65
CIB-A1-010,D1_Code,95.0,2.85,31.8944,0.000664,100.0,100.0,100.0,51.6,87.9,100.0,0.0,97.8,1,80.34
CIB-A1-011,D1_Code,91.0,2.85,13.8728,0.000289,100.0,100.0,100.0,51.3,87.8,100.0,0.0,99.0,1,80.49
CIB-A1-012,D1_Code,86.0,2.85,32.0484,0.000668,0.0,85.0,100.0,56.5,60.4,100.0,0.0,97.8,1,60.71
CIB-A1-013,D1_Code,93.0,2.85,23.7158,0.000494,100.0,100.0,100.0,55.4,88.8,100.0,0.0,98.3,1,80.76
CIB-A1-014,D1_Code,90.0,2.85,30.2617,0.000630,100.0,100.0,100.0,47.3,86.8,100.0,0.0,97.9,1,80.00
CIB-A1-015,D1_Code,94.0,2.85,32.0231,0.000667,100.0,100.0,100.0,58.1,89.5,100.0,0.0,97.8,1,80.92
CIB-A1-016,D1_Code,85.0,2.85,15.6586,0.000326,0.0,80.0,100.0,58.1,59.5,100.0,0.0,98.9,1,60.59
CIB-A1-017,D1_Code,92.0,2.85,31.9447,0.000666,100.0,100.0,100.0,56.9,89.2,100.0,0.0,97.8,1,80.81
CIB-A1-018,D1_Code,93.0,2.85,29.7751,0.000620,100.0,100.0,100.0,53.4,88.4,100.0,0.0,97.9,1,80.53
CIB-A1-019,D1_Code,97.0,2.85,6.5578,0.000137,100.0,100.0,100.0,37.6,84.4,100.0,0.0,99.5,1,79.37
CIB-A1-020,D1_Code,96.0,2.85,31.7708,0.000662,100.0,100.0,100.0,62.0,90.5,100.0,0.0,97.8,1,81.25
CIB-A1-021,D1_Code,75.0,2.85,31.3330,0.000653,0.0,70.0,100.0,14.0,46.0,100.0,0.0,97.8,1,55.69
CIB-A1-022,D1_Code,80.0,2.85,31.7973,0.000662,0.0,80.0,100.0,68.2,62.1,100.0,0.0,97.8,1,61.31
CIB-A1-023,D1_Code,90.0,2.85,24.0169,0.000500,100.0,100.0,100.0,46.3,86.6,100.0,0.0,98.3,1,79.95
CIB-A1-024,D1_Code,91.0,2.85,17.0028,0.000354,100.0,100.0,100.0,13.3,78.3,100.0,0.0,98.8,1,77.14
CIB-A1-025,D1_Code,94.0,2.85,31.8973,0.000665,100.0,100.0,100.0,56.6,89.2,100.0,0.0,97.8,1,80.79
CIB-A1-026,D1_Code,98.0,2.85,9.1606,0.000191,100.0,100.0,100.0,63.8,90.9,100.0,0.0,99.4,1,81.64
CIB-A1-027,D1_Code,95.0,2.85,20.1666,0.000420,100.0,100.0,100.0,52.7,88.2,100.0,0.0,98.6,1,80.57
CIB-A1-028,D1_Code,94.0,2.85,21.2387,0.000442,100.0,100.0,100.0,53.4,88.3,100.0,0.0,98.5,1,80.59
CIB-A1-029,D1_Code,96.0,2.85,8.6268,0.000180,100.0,100.0,100.0,49.9,87.5,100.0,0.0,99.4,1,80.44
CIB-A1-030,D1_Code,82.0,2.85,31.7576,0.000662,0.0,80.0,100.0,40.6,55.1,100.0,0.0,97.8,1,58.88
CIB-A1-031,D1_Code,93.0,2.85,19.2836,0.000402,100.0,100.0,100.0,50.5,87.6,100.0,0.0,98.7,1,80.37
CIB-A1-032,D1_Code,96.0,2.85,10.9927,0.000229,100.0,100.0,100.0,58.6,89.7,100.0,0.0,99.2,1,81.18
CIB-A1-033,D1_Code,85.0,2.85,11.7329,0.000244,0.0,85.0,100.0,63.4,62.1,100.0,0.0,99.2,1,61.52
CIB-A1-034,D1_Code,92.0,2.85,16.5857,0.000346,100.0,100.0,100.0,36.4,84.1,100.0,0.0,98.8,1,79.16
CIB-A1-035,D1_Code,86.0,2.85,19.8633,0.000414,0.0,85.0,100.0,53.2,59.5,100.0,0.0,98.6,1,60.54
CIB-A1-036,D1_Code,84.0,2.85,32.4127,0.000675,0.0,85.0,100.0,47.0,58.0,100.0,0.0,97.7,1,59.88
CIB-A1-037,D1_Code,93.0,2.85,31.5254,0.000657,100.0,100.0,100.0,47.8,86.9,100.0,0.0,97.8,1,79.99
CIB-A1-038,D1_Code,88.0,2.85,31.6512,0.000659,0.0,85.0,100.0,52.8,59.5,100.0,0.0,97.8,1,60.42
CIB-A1-039,D1_Code,82.0,2.85,30.0555,0.000626,0.0,80.0,100.0,41.3,55.3,100.0,0.0,97.9,1,58.96
CIB-A1-040,D1_Code,85.0,2.85,27.6235,0.000575,0.0,85.0,100.0,49.9,58.7,100.0,0.0,98.1,1,60.17
CIB-A1-041,D1_Code,97.0,2.85,8.9297,0.000186,100.0,100.0,100.0,65.4,91.4,100.0,0.0,99.4,1,81.80
CIB-A1-042,D1_Code,94.0,2.85,31.1959,0.000650,100.0,100.0,100.0,58.2,89.6,100.0,0.0,97.8,1,80.93
CIB-A1-043,D1_Code,95.0,2.85,31.7842,0.000662,100.0,100.0,100.0,59.1,89.8,100.0,0.0,97.8,1,81.00
