id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,User_CSAT,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-D4-001,D4_User,88.0,2.85,31.4139,0.000654,71.7,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-002,D4_User,82.0,2.85,31.4311,0.000655,51.3,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-003,D4_User,90.0,2.85,19.4384,0.000405,73.0,0.0,100.0,0.0,98.6,1,39.80
CIB-D4-004,D4_User,85.0,2.85,31.6928,0.000660,67.3,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-005,D4_User,93.0,2.85,28.6401,0.000597,70.7,0.0,100.0,0.0,98.0,1,39.70
CIB-D4-006,D4_User,89.0,2.85,31.6942,0.000660,73.3,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-007,D4_User,88.0,2.85,31.3237,0.000653,91.8,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-008,D4_User,92.0,2.85,31.1798,0.000650,89.6,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-009,D4_User,86.0,2.85,31.4616,0.000655,71.9,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-010,D4_User,95.0,2.85,31.0621,0.000647,70.3,0.0,100.0,0.0,97.8,1,39.68
CIB-D4-011,D4_User,80.0,2.85,31.6830,0.000660,59.0,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-012,D4_User,91.0,2.85,31.6941,0.000660,89.3,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-013,D4_User,85.0,2.85,15.5363,0.000324,63.6,0.0,100.0,0.0,98.9,1,39.84
CIB-D4-014,D4_User,88.0,2.85,31.7256,0.000661,73.0,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-015,D4_User,90.0,2.85,31.0455,0.000647,75.4,0.0,100.0,0.0,97.8,1,39.68
CIB-D4-016,D4_User,87.0,2.85,31.3750,0.000654,77.5,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-017,D4_User,92.0,2.85,30.6370,0.000638,77.1,0.0,100.0,0.0,97.9,1,39.68
CIB-D4-018,D4_User,89.0,2.85,31.6715,0.000660,78.4,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-019,D4_User,94.0,2.85,31.6968,0.000660,67.5,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-020,D4_User,88.0,2.85,31.0440,0.000647,76.3,0.0,100.0,0.0,97.8,1,39.68
CIB-D4-021,D4_User,91.0,2.85,31.8187,0.000663,79.1,0.0,100.0,0.0,97.8,1,39.67
CIB-D4-022,D4_User,89.0,2.85,22.3203,0.000465,85.2,0.0,100.0,0.0,98.4,1,39.77
