id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,User_CSAT,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-D4-001,D4_User,92.0,6.12,45.1978,0.000942,95.0,0.0,100.0,0.0,6.8,1,26.02
CIB-D4-002,D4_User,89.0,6.12,45.2468,0.000943,75.4,0.0,100.0,0.0,6.7,1,26.01
CIB-D4-003,D4_User,94.0,6.12,24.6628,0.000514,79.8,0.0,100.0,0.0,49.2,1,32.37
CIB-D4-004,D4_User,90.0,6.12,44.7345,0.000932,54.9,0.0,100.0,0.0,7.8,1,26.17
CIB-D4-005,D4_User,97.0,6.12,12.8959,0.000269,65.2,0.0,100.0,0.0,73.5,1,36.02
CIB-D4-006,D4_User,93.0,6.12,37.2736,0.000777,74.4,0.0,100.0,0.0,23.2,1,28.48
CIB-D4-007,D4_User,91.0,6.12,44.6901,0.000931,90.1,0.0,100.0,0.0,7.9,1,26.18
CIB-D4-008,D4_User,92.0,6.12,44.9662,0.000937,76.2,0.0,100.0,0.0,7.3,1,26.10
CIB-D4-009,D4_User,90.0,6.12,45.2214,0.000942,72.4,0.0,100.0,0.0,6.8,1,26.02
CIB-D4-010,D4_User,98.0,6.12,29.3914,0.000612,77.0,0.0,100.0,0.0,39.5,1,30.92
CIB-D4-011,D4_User,92.0,6.12,45.3431,0.000945,66.7,0.0,100.0,0.0,6.5,1,25.98
CIB-D4-012,D4_User,93.0,6.12,45.8158,0.000954,80.8,0.0,100.0,0.0,5.6,1,25.83
CIB-D4-013,D4_User,89.0,6.12,11.1494,0.000232,68.3,0.0,100.0,0.0,77.0,1,36.56
CIB-D4-014,D4_User,91.0,6.12,44.7305,0.000932,70.3,0.0,100.0,0.0,7.8,1,26.17
CIB-D4-015,D4_User,94.0,6.12,45.5978,0.000950,79.9,0.0,100.0,0.0,6.0,1,25.90
CIB-D4-016,D4_User,90.0,6.12,43.1753,0.000900,75.1,0.0,100.0,0.0,11.0,1,26.65
CIB-D4-017,D4_User,95.0,6.12,31.2883,0.000652,72.4,0.0,100.0,0.0,35.5,1,30.33
CIB-D4-018,D4_User,92.0,6.12,45.2170,0.000942,73.4,0.0,100.0,0.0,6.8,1,26.02
CIB-D4-019,D4_User,96.0,6.12,45.4202,0.000946,69.1,0.0,100.0,0.0,6.4,1,25.96
CIB-D4-020,D4_User,90.0,6.12,44.7077,0.000931,74.2,0.0,100.0,0.0,7.8,1,26.18
CIB-D4-021,D4_User,94.0,6.12,26.3042,0.000548,83.6,0.0,100.0,0.0,45.8,1,31.87
CIB-D4-022,D4_User,92.0,6.12,42.6572,0.000889,84.5,0.0,100.0,0.0,12.1,1,26.81
CIB-D4-023,D4_User,95.0,6.12,21.6459,0.000451,72.2,0.0,100.0,0.0,55.4,1,33.31
CIB-D4-024,D4_User,93.0,6.12,45.0098,0.000938,70.2,0.0,100.0,0.0,7.2,1,26.08
CIB-D4-025,D4_User,88.0,6.12,44.2752,0.000922,53.1,0.0,100.0,0.0,8.7,1,26.31
CIB-D4-026,D4_User,94.0,6.12,38.2059,0.000796,70.2,0.0,100.0,0.0,21.2,1,28.18
CIB-D4-027,D4_User,91.0,6.12,44.5899,0.000929,75.9,0.0,100.0,0.0,8.1,1,26.21
CIB-D4-028,D4_User,90.0,6.12,44.9394,0.000936,85.5,0.0,100.0,0.0,7.4,1,26.10
